skills,job_role
"Python SQL Power BI Excel Tableau","Data Analyst"
"Python Machine Learning Deep Learning TensorFlow","Machine Learning Engineer"
"Python Statistics Pandas NumPy SQL","Data Scientist"
"Excel Tableau SQL Power BI","Business Analyst"
"Python Flask Streamlit SQL","Python Developer"
"Machine Learning NLP Deep Learning Python","AI Engineer"
"Statistics Data Visualization SQL Python","Data Analyst"
"TensorFlow PyTorch Deep Learning NLP","AI Engineer"
"Python Pandas NumPy Machine Learning","Data Scientist"
"Excel Power BI Tableau Communication","Business Analyst"